Id,RecipeId,Ingredient,IngredientQty
211,18,Cabbage (shredded),1 cup
212,18,Spinach (shredded),1 cup
213,18,Fresh Pomegranate Fruit Kernels,1 cup
214,18,Lemon juice,2
215,18,Extra Virgin Olive Oil,2 tablespoons
216,18,Salt and Pepper,To taste
217,19,All Purpose Flour (Maida),1 cup
218,19,Ghee,2 tablespoons
219,19,Salt,1/2 teaspoon
220,19,Sunflower Oil (for deep frying),As needed
221,19,Ghee (additional),2 tablespoons
222,19,Cumin seeds (Jeera),1 teaspoon
223,19,Green Chilli Sauce,1 teaspoon
224,19,Cinnamon Powder (Dalchini),1/2 teaspoon
225,19,Garam masala powder,1/2 teaspoon
226,19,Red Chilli powder,1/4 teaspoon
227,19,Amchur (Dry Mango Powder),2 teaspoons
228,19,Green peas (steamed and mashed),1-1/2 cups
229,19,Salt,To taste
230,19,"All Purpose Flour (Maida, additional)",2 teaspoons
231,19,Water,1/4 cup
232,20,All Purpose Flour (Maida),1 cup
233,20,Sugar,1/2 cup
234,20,Dark chocolate,1 cup
235,20,Cocoa Powder,1/2 cup
236,20,Salted butter,1/2 cup
237,20,Milk,3/4 cup
238,20,Baking powder,1/2 tablespoon
239,20,Baking soda,1/2 teaspoon
240,20,Vanilla Extract,1/2 tablespoon
241,20,Britannia Cream Cheese,1 cup
242,20,Caster Sugar,3/4 cup
243,20,Vanilla Extract (additional),1 teaspoon
244,20,Fresh raspberries,8
